encoding qubits,number of iterations,rotations,eigenvalue
4,1,0,26.0
4,2,2,2.0
4,3,0,2.0
4,4,5,12.0
4,5,32,2.0
4,6,25,4.0
4,7,28,4.0
4,8,30,12.0
4,9,75,5.0
4,10,37,2.0
4,20,70,-7.0
4,30,33,5.0
4,40,30,-7.0
4,50,61,26.0
4,60,69,5.0
4,70,63,-1.0
4,80,31,-7.0
4,90,35,5.0
4,1,0,12.0
4,2,1,26.0
4,3,2,-7.0
4,4,4,26.0
4,5,5,5.0
4,6,55,-1.0
4,7,35,-7.0
4,8,33,12.0
4,9,80,12.0
4,10,17,4.0
4,20,38,-7.0
4,30,56,2.0
4,40,46,-7.0
4,50,46,5.0
4,60,59,5.0
4,70,66,4.0
4,80,62,2.0
4,90,66,-7.0
4,1,0,-2.0
4,2,0,-1.0
4,3,4,-1.0
4,4,10,-2.0
4,5,5,-7.0
4,6,33,-7.0
4,7,53,12.0
4,8,26,-7.0
4,9,79,-7.0
4,10,37,-7.0
4,20,79,5.0
4,30,33,-1.0
4,40,52,5.0
4,50,50,-1.0
4,60,74,-7.0
4,70,26,-7.0
4,80,33,5.0
4,90,79,2.0
4,1,0,-7.0
4,2,0,-1.0
4,3,2,-7.0
4,4,11,5.0
4,5,2,2.0
4,6,45,-1.0
4,7,36,-7.0
4,8,43,5.0
4,9,49,-7.0
4,10,29,12.0
4,20,67,12.0
4,30,29,12.0
4,40,60,12.0
4,50,32,26.0
4,60,67,26.0
4,70,80,-7.0
4,80,21,12.0
4,90,35,-7.0
4,1,0,0.0
4,2,0,-1.0
4,3,7,26.0
4,4,4,-7.0
4,5,25,-7.0
4,6,55,-1.0
4,7,69,5.0
4,8,65,5.0
4,9,25,4.0
4,10,79,5.0
4,20,40,26.0
4,30,72,26.0
4,40,79,5.0
4,50,58,-7.0
4,60,48,-1.0
4,70,45,-7.0
4,80,35,-2.0
4,90,35,12.0
4,1,0,-1.0
4,2,0,0.0
4,3,2,4.0
4,4,9,2.0
4,5,6,5.0
4,6,51,26.0
4,7,34,4.0
4,8,25,5.0
4,9,41,5.0
4,10,50,5.0
4,20,79,-1.0
4,30,34,26.0
4,40,38,-7.0
4,50,71,-1.0
4,60,27,-1.0
4,70,79,5.0
4,80,39,2.0
4,90,53,12.0
4,1,0,5.0
4,2,0,-1.0
4,3,6,-1.0
4,4,8,-1.0
4,5,4,2.0
4,6,6,-2.0
4,7,42,-1.0
4,8,36,12.0
4,9,30,2.0
4,10,39,4.0
4,20,47,2.0
4,30,56,-7.0
4,40,33,-7.0
4,50,69,-7.0
4,60,62,26.0
4,70,43,-1.0
4,80,59,-1.0
4,90,62,-7.0
4,1,0,-7.0
4,2,1,-1.0
4,3,3,2.0
4,4,1,-7.0
4,5,22,-2.0
4,6,47,12.0
4,7,16,-2.0
4,8,34,-1.0
4,9,27,12.0
4,10,48,-1.0
4,20,43,4.0
4,30,67,12.0
4,40,34,-1.0
4,50,30,0.0
4,60,54,5.0
4,70,39,12.0
4,80,37,-1.0
4,90,65,-7.0
4,1,0,-1.0
4,2,1,26.0
4,3,3,-1.0
4,4,5,-7.0
4,5,11,12.0
4,6,34,-2.0
4,7,23,-1.0
4,8,49,12.0
4,9,22,5.0
4,10,27,5.0
4,20,34,5.0
4,30,48,-7.0
4,40,50,26.0
4,50,42,5.0
4,60,43,2.0
4,70,43,2.0
4,80,28,2.0
4,90,42,-7.0
4,1,0,12.0
4,2,1,-1.0
4,3,10,12.0
4,4,7,-2.0
4,5,21,-7.0
4,6,35,-2.0
4,7,36,4.0
4,8,48,5.0
4,9,51,-7.0
4,10,79,-2.0
4,20,79,-1.0
4,30,59,26.0
4,40,48,26.0
4,50,75,5.0
4,60,49,-7.0
4,70,45,-1.0
4,80,25,5.0
4,90,55,5.0
4,1,0,26.0
4,2,1,-2.0
4,3,3,5.0
4,4,12,-2.0
4,5,22,26.0
4,6,30,-7.0
4,7,55,-2.0
4,8,26,2.0
4,9,53,2.0
4,10,79,-1.0
4,20,45,4.0
4,30,30,-7.0
4,40,38,12.0
4,50,43,4.0
4,60,31,-1.0
4,70,18,12.0
4,80,62,-7.0
4,90,31,2.0
4,1,0,4.0
4,2,0,2.0
4,3,13,26.0
4,4,46,-2.0
4,5,32,5.0
4,6,75,5.0
4,7,27,2.0
4,8,32,12.0
4,9,36,12.0
4,10,27,-7.0
4,20,27,-1.0
4,30,39,12.0
4,40,52,-1.0
4,50,29,-1.0
4,60,79,-7.0
4,70,79,26.0
4,80,40,26.0
4,90,29,-2.0
4,1,0,0.0
4,2,0,0.0
4,3,8,26.0
4,4,38,-7.0
4,5,15,-2.0
4,6,61,-1.0
4,7,79,-1.0
4,8,66,-7.0
4,9,31,-7.0
4,10,55,-2.0
4,20,25,12.0
4,30,57,5.0
4,40,37,2.0
4,50,32,-7.0
4,60,39,12.0
4,70,46,4.0
4,80,46,-7.0
4,90,40,4.0
4,1,0,-7.0
4,2,1,-7.0
4,3,0,-1.0
4,4,19,-1.0
4,5,20,-1.0
4,6,11,-7.0
4,7,27,-1.0
4,8,35,-1.0
4,9,25,5.0
4,10,49,12.0
4,20,60,-1.0
4,30,51,12.0
4,40,32,-1.0
4,50,58,5.0
4,60,57,12.0
4,70,71,-7.0
4,80,31,-7.0
4,90,79,12.0
4,1,0,-2.0
4,2,4,5.0
4,3,4,2.0
4,4,4,26.0
4,5,23,-2.0
4,6,32,-7.0
4,7,40,12.0
4,8,43,12.0
4,9,52,-1.0
4,10,49,-7.0
4,20,37,-2.0
4,30,37,-2.0
4,40,17,26.0
4,50,42,2.0
4,60,40,4.0
4,70,73,-1.0
4,80,48,26.0
4,90,30,5.0
4,1,0,-7.0
4,2,0,0.0
4,3,3,5.0
4,4,3,-7.0
4,5,23,2.0
4,6,59,-7.0
4,7,31,-7.0
4,8,37,5.0
4,9,58,4.0
4,10,79,12.0
4,20,61,-2.0
4,30,33,12.0
4,40,33,12.0
4,50,79,-7.0
4,60,40,-1.0
4,70,28,-2.0
4,80,39,-1.0
4,90,45,-7.0
4,1,0,12.0
4,2,1,0.0
4,3,6,5.0
4,4,51,5.0
4,5,6,5.0
4,6,49,-1.0
4,7,54,5.0
4,8,56,2.0
4,9,30,2.0
4,10,65,26.0
4,20,12,-2.0
4,30,66,-7.0
4,40,65,2.0
4,50,45,5.0
4,60,79,2.0
4,70,35,-7.0
4,80,50,4.0
4,90,43,26.0
4,1,0,-7.0
4,2,1,-7.0
4,3,13,-1.0
4,4,5,5.0
4,5,10,-1.0
4,6,15,12.0
4,7,39,4.0
4,8,21,26.0
4,9,66,5.0
4,10,31,26.0
4,20,61,-1.0
4,30,79,2.0
4,40,61,2.0
4,50,35,26.0
4,60,52,26.0
4,70,61,12.0
4,80,67,-1.0
4,90,25,26.0
4,1,0,0.0
4,2,1,12.0
4,3,10,-7.0
4,4,9,2.0
4,5,15,0.0
4,6,40,2.0
4,7,46,-7.0
4,8,50,-2.0
4,9,61,-1.0
4,10,53,-7.0
4,20,50,-7.0
4,30,36,-1.0
4,40,59,4.0
4,50,66,4.0
4,60,49,5.0
4,70,48,-1.0
4,80,79,2.0
4,90,41,-2.0
4,1,0,-7.0
4,2,1,4.0
4,3,1,4.0
4,4,9,2.0
4,5,19,-7.0
4,6,32,-1.0
4,7,41,-2.0
4,8,41,-1.0
4,9,70,-7.0
4,10,52,5.0
4,20,58,0.0
4,30,33,26.0
4,40,27,-1.0
4,50,37,4.0
4,60,59,-7.0
4,70,51,5.0
4,80,36,-7.0
4,90,51,5.0
4,1,0,12.0
4,2,0,12.0
4,3,5,2.0
4,4,0,26.0
4,5,7,-7.0
4,6,16,-7.0
4,7,36,12.0
4,8,32,2.0
4,9,57,4.0
4,10,45,26.0
4,20,34,-1.0
4,30,39,5.0
4,40,27,-2.0
4,50,73,12.0
4,60,79,12.0
4,70,28,-7.0
4,80,48,2.0
4,90,77,-7.0
4,1,0,-2.0
4,2,0,4.0
4,3,2,-1.0
4,4,2,5.0
4,5,50,-1.0
4,6,25,-7.0
4,7,39,2.0
4,8,44,-7.0
4,9,74,-7.0
4,10,68,26.0
4,20,46,12.0
4,30,62,2.0
4,40,33,-1.0
4,50,36,2.0
4,60,51,-7.0
4,70,33,5.0
4,80,61,-7.0
4,90,52,26.0
4,1,0,-7.0
4,2,0,-1.0
4,3,7,12.0
4,4,5,26.0
4,5,32,-2.0
4,6,21,4.0
4,7,40,5.0
4,8,55,4.0
4,9,51,26.0
4,10,45,5.0
4,20,57,26.0
4,30,56,12.0
4,40,43,-7.0
4,50,61,-7.0
4,60,58,-1.0
4,70,72,-7.0
4,80,79,2.0
4,90,38,-1.0
4,1,0,26.0
4,2,0,-7.0
4,3,0,12.0
4,4,20,12.0
4,5,22,-7.0
4,6,21,-7.0
4,7,35,-7.0
4,8,26,2.0
4,9,54,5.0
4,10,25,12.0
4,20,30,4.0
4,30,62,5.0
4,40,27,12.0
4,50,56,5.0
4,60,50,12.0
4,70,79,-2.0
4,80,40,-1.0
4,90,31,-7.0
4,1,0,-1.0
4,2,0,-7.0
4,3,3,-7.0
4,4,5,5.0
4,5,29,0.0
4,6,40,2.0
4,7,46,-1.0
4,8,16,5.0
4,9,63,12.0
4,10,21,12.0
4,20,36,-7.0
4,30,60,12.0
4,40,57,12.0
4,50,74,12.0
4,60,44,12.0
4,70,37,12.0
4,80,32,2.0
4,90,26,-1.0
4,1,0,-7.0
4,2,2,26.0
4,3,5,2.0
4,4,2,5.0
4,5,30,4.0
4,6,67,-1.0
4,7,37,26.0
4,8,29,12.0
4,9,55,26.0
4,10,35,2.0
4,20,55,12.0
4,30,24,26.0
4,40,18,2.0
4,50,39,-7.0
4,60,47,26.0
4,70,34,-7.0
4,80,49,5.0
4,90,41,-7.0
4,1,0,12.0
4,2,2,12.0
4,3,0,12.0
4,4,8,12.0
4,5,29,-1.0
4,6,40,-2.0
4,7,38,12.0
4,8,39,26.0
4,9,42,-2.0
4,10,47,-1.0
4,20,36,-7.0
4,30,50,5.0
4,40,40,-2.0
4,50,39,-7.0
4,60,32,12.0
4,70,36,-1.0
4,80,37,26.0
4,90,32,-2.0
4,1,0,12.0
4,2,0,-2.0
4,3,6,-2.0
4,4,13,5.0
4,5,23,-7.0
4,6,64,-7.0
4,7,70,5.0
4,8,34,5.0
4,9,62,-7.0
4,10,53,-7.0
4,20,69,-7.0
4,30,60,-2.0
4,40,43,26.0
4,50,67,-2.0
4,60,46,-7.0
4,70,38,-7.0
4,80,21,5.0
4,90,37,5.0
4,1,0,-7.0
4,2,3,-7.0
4,3,2,0.0
4,4,4,-1.0
4,5,12,-1.0
4,6,13,-1.0
4,7,41,-2.0
4,8,35,-2.0
4,9,46,-1.0
4,10,54,5.0
4,20,61,-2.0
4,30,51,12.0
4,40,79,-7.0
4,50,79,2.0
4,60,32,-1.0
4,70,56,-7.0
4,80,35,12.0
4,90,40,0.0
4,1,0,0.0
4,2,3,2.0
4,3,5,-2.0
4,4,7,12.0
4,5,43,2.0
4,6,25,5.0
4,7,37,-2.0
4,8,29,-1.0
4,9,35,-7.0
4,10,48,-7.0
4,20,58,5.0
4,30,35,-7.0
4,40,40,12.0
4,50,42,2.0
4,60,42,-7.0
4,70,42,-1.0
4,80,61,-7.0
4,90,44,26.0
4,1,0,-1.0
4,2,2,5.0
4,3,6,2.0
4,4,2,0.0
4,5,22,4.0
4,6,32,12.0
4,7,15,2.0
4,8,32,-1.0
4,9,27,2.0
4,10,42,-2.0
4,20,33,-7.0
4,30,41,-7.0
4,40,45,4.0
4,50,17,-1.0
4,60,33,-7.0
4,70,54,4.0
4,80,38,4.0
4,90,32,26.0
4,1,0,-2.0
4,2,2,5.0
4,3,2,-1.0
4,4,14,4.0
4,5,4,5.0
4,6,8,-1.0
4,7,63,-7.0
4,8,65,12.0
4,9,51,26.0
4,10,39,12.0
4,20,33,12.0
4,30,79,-7.0
4,40,79,-7.0
4,50,38,-2.0
4,60,75,2.0
4,70,30,-7.0
4,80,79,-7.0
4,90,48,12.0
4,1,0,4.0
4,2,0,-1.0
4,3,1,0.0
4,4,16,-7.0
4,5,15,5.0
4,6,31,5.0
4,7,32,2.0
4,8,16,-1.0
4,9,59,26.0
4,10,67,26.0
4,20,46,-2.0
4,30,26,26.0
4,40,29,26.0
4,50,61,26.0
4,60,74,5.0
4,70,34,-7.0
4,80,66,26.0
4,90,58,4.0
4,1,0,-7.0
4,2,0,0.0
4,3,2,5.0
4,4,6,-7.0
4,5,61,-1.0
4,6,16,12.0
4,7,58,2.0
4,8,25,-7.0
4,9,22,2.0
4,10,31,2.0
4,20,50,-7.0
4,30,59,-2.0
4,40,55,0.0
4,50,28,-7.0
4,60,40,-7.0
4,70,55,-1.0
4,80,26,5.0
4,90,22,26.0
4,1,0,-7.0
4,2,1,12.0
4,3,7,-7.0
4,4,3,-1.0
4,5,5,-1.0
4,6,30,26.0
4,7,56,5.0
4,8,30,-1.0
4,9,79,-2.0
4,10,60,2.0
4,20,44,-7.0
4,30,63,26.0
4,40,32,-7.0
4,50,51,-7.0
4,60,41,-7.0
4,70,62,-7.0
4,80,58,-1.0
4,90,37,2.0
4,1,0,-1.0
4,2,1,-1.0
4,3,11,12.0
4,4,16,26.0
4,5,43,-7.0
4,6,18,4.0
4,7,39,-7.0
4,8,46,26.0
4,9,31,-7.0
4,10,51,12.0
4,20,81,4.0
4,30,43,2.0
4,40,42,-1.0
4,50,37,5.0
4,60,79,12.0
4,70,46,5.0
4,80,51,26.0
4,90,52,5.0
4,1,0,12.0
4,2,0,12.0
4,3,0,-2.0
4,4,19,-1.0
4,5,27,5.0
4,6,38,26.0
4,7,21,2.0
4,8,6,-7.0
4,9,32,-2.0
4,10,50,-7.0
4,20,39,5.0
4,30,41,4.0
4,40,24,-7.0
4,50,32,-7.0
4,60,57,-7.0
4,70,65,12.0
4,80,26,-1.0
4,90,81,-7.0
4,1,0,0.0
4,2,3,5.0
4,3,3,5.0
4,4,23,-2.0
4,5,12,-1.0
4,6,23,5.0
4,7,45,12.0
4,8,61,5.0
4,9,36,-2.0
4,10,38,2.0
4,20,44,-7.0
4,30,39,5.0
4,40,69,5.0
4,50,40,12.0
4,60,55,5.0
4,70,36,5.0
4,80,26,12.0
4,90,28,5.0
4,1,0,26.0
4,2,1,12.0
4,3,4,2.0
4,4,13,12.0
4,5,14,-2.0
4,6,23,12.0
4,7,43,2.0
4,8,60,-2.0
4,9,47,12.0
4,10,79,-2.0
4,20,63,-7.0
4,30,41,26.0
4,40,45,-7.0
4,50,48,-7.0
4,60,80,12.0
4,70,44,-7.0
4,80,34,2.0
4,90,35,-7.0
4,1,0,0.0
4,2,0,-1.0
4,3,3,5.0
4,4,5,12.0
4,5,4,5.0
4,6,22,0.0
4,7,43,5.0
4,8,28,2.0
4,9,81,2.0
4,10,49,-7.0
4,20,29,12.0
4,30,44,2.0
4,40,39,12.0
4,50,48,-7.0
4,60,50,-2.0
4,70,77,12.0
4,80,74,-7.0
4,90,32,2.0
4,1,0,-1.0
4,2,0,-2.0
4,3,2,5.0
4,4,12,-7.0
4,5,25,2.0
4,6,23,-2.0
4,7,21,2.0
4,8,37,0.0
4,9,51,-7.0
4,10,45,2.0
4,20,49,2.0
4,30,60,-7.0
4,40,78,2.0
4,50,31,5.0
4,60,28,-1.0
4,70,35,2.0
4,80,39,2.0
4,90,28,-1.0
4,1,0,-7.0
4,2,0,-1.0
4,3,6,-2.0
4,4,16,-7.0
4,5,30,-2.0
4,6,7,-2.0
4,7,63,-7.0
4,8,76,12.0
4,9,47,2.0
4,10,81,4.0
4,20,46,12.0
4,30,38,5.0
4,40,41,2.0
4,50,37,26.0
4,60,79,5.0
4,70,38,-7.0
4,80,56,5.0
4,90,39,2.0
4,1,0,-2.0
4,2,2,-1.0
4,3,7,-1.0
4,4,4,-7.0
4,5,8,4.0
4,6,16,4.0
4,7,22,26.0
4,8,42,12.0
4,9,32,26.0
4,10,43,-7.0
4,20,79,12.0
4,30,50,-7.0
4,40,25,-2.0
4,50,30,12.0
4,60,79,12.0
4,70,55,12.0
4,80,75,-1.0
4,90,37,-7.0
4,1,0,0.0
4,2,2,0.0
4,3,7,-7.0
4,4,12,-1.0
4,5,16,0.0
4,6,51,5.0
4,7,33,12.0
4,8,55,5.0
4,9,70,-1.0
4,10,64,5.0
4,20,35,-1.0
4,30,27,2.0
4,40,46,5.0
4,50,33,26.0
4,60,18,26.0
4,70,80,5.0
4,80,47,12.0
4,90,79,5.0
4,1,0,0.0
4,2,2,-2.0
4,3,9,-1.0
4,4,3,-2.0
4,5,50,2.0
4,6,55,2.0
4,7,34,12.0
4,8,41,-7.0
4,9,60,26.0
4,10,79,-2.0
4,20,39,2.0
4,30,36,26.0
4,40,50,12.0
4,50,34,4.0
4,60,24,4.0
4,70,56,5.0
4,80,35,5.0
4,90,66,-7.0
4,1,0,-1.0
4,2,2,2.0
4,3,16,12.0
4,4,12,-2.0
4,5,72,4.0
4,6,33,12.0
4,7,76,12.0
4,8,36,26.0
4,9,54,-7.0
4,10,79,5.0
4,20,44,-7.0
4,30,29,5.0
4,40,57,12.0
4,50,20,5.0
4,60,78,-7.0
4,70,36,-7.0
4,80,34,5.0
4,90,51,12.0
4,1,0,-1.0
4,2,1,26.0
4,3,7,-2.0
4,4,8,2.0
4,5,37,12.0
4,6,35,-7.0
4,7,25,-2.0
4,8,35,5.0
4,9,66,12.0
4,10,58,12.0
4,20,38,-1.0
4,30,25,5.0
4,40,20,-7.0
4,50,55,-1.0
4,60,41,12.0
4,70,67,-7.0
4,80,38,5.0
4,90,45,5.0
4,1,0,-7.0
4,2,0,-7.0
4,3,8,-1.0
4,4,11,2.0
4,5,5,0.0
4,6,46,5.0
4,7,26,5.0
4,8,22,0.0
4,9,61,-7.0
4,10,34,-7.0
4,20,31,4.0
4,30,36,2.0
4,40,47,5.0
4,50,41,-7.0
4,60,43,-7.0
4,70,55,26.0
4,80,45,-7.0
4,90,69,12.0
4,1,0,0.0
4,2,0,-7.0
4,3,3,-2.0
4,4,3,0.0
4,5,11,2.0
4,6,80,-7.0
4,7,47,-2.0
4,8,26,5.0
4,9,41,-7.0
4,10,62,5.0
4,20,63,12.0
4,30,55,-1.0
4,40,34,-7.0
4,50,79,5.0
4,60,54,-1.0
4,70,31,2.0
4,80,48,-1.0
4,90,64,-7.0
4,1,0,12.0
4,2,1,4.0
4,3,6,-1.0
4,4,17,12.0
4,5,25,-7.0
4,6,10,2.0
4,7,17,4.0
4,8,42,5.0
4,9,28,-1.0
4,10,50,-7.0
4,20,41,-2.0
4,30,71,12.0
4,40,33,26.0
4,50,74,-7.0
4,60,32,-1.0
4,70,37,5.0
4,80,37,-7.0
4,90,41,-1.0
4,1,0,0.0
4,2,1,-1.0
4,3,3,-7.0
4,4,7,-1.0
4,5,9,-1.0
4,6,32,5.0
4,7,14,-1.0
4,8,46,26.0
4,9,39,2.0
4,10,30,-7.0
4,20,42,-1.0
4,30,65,2.0
4,40,36,-7.0
4,50,60,2.0
4,60,64,26.0
4,70,39,-1.0
4,80,22,-7.0
4,90,44,-1.0
4,1,0,-7.0
4,2,2,5.0
4,3,8,-2.0
4,4,22,-7.0
4,5,10,2.0
4,6,55,2.0
4,7,15,-7.0
4,8,31,2.0
4,9,37,2.0
4,10,44,-7.0
4,20,71,5.0
4,30,43,-1.0
4,40,29,-7.0
4,50,57,2.0
4,60,21,-7.0
4,70,81,12.0
4,80,51,-1.0
4,90,54,26.0
4,1,0,-1.0
4,2,0,-1.0
4,3,10,12.0
4,4,16,5.0
4,5,22,-7.0
4,6,29,-2.0
4,7,41,-7.0
4,8,79,-7.0
4,9,54,5.0
4,10,73,26.0
4,20,38,-7.0
4,30,33,-1.0
4,40,64,26.0
4,50,70,-2.0
4,60,66,12.0
4,70,35,-1.0
4,80,29,5.0
4,90,30,12.0
4,1,0,0.0
4,2,1,2.0
4,3,0,-7.0
4,4,2,0.0
4,5,11,2.0
4,6,5,-7.0
4,7,69,26.0
4,8,53,-2.0
4,9,79,5.0
4,10,51,12.0
4,20,31,5.0
4,30,55,2.0
4,40,79,-7.0
4,50,50,-2.0
4,60,52,-1.0
4,70,35,2.0
4,80,56,26.0
4,90,79,-7.0
4,1,0,-1.0
4,2,0,-1.0
4,3,7,26.0
4,4,6,0.0
4,5,53,26.0
4,6,51,12.0
4,7,49,-7.0
4,8,13,5.0
4,9,38,-2.0
4,10,41,12.0
4,20,41,0.0
4,30,56,4.0
4,40,36,12.0
4,50,29,0.0
4,60,37,26.0
4,70,79,-7.0
4,80,79,-1.0
4,90,62,5.0
4,1,0,-1.0
4,2,1,26.0
4,3,1,-1.0
4,4,6,4.0
4,5,21,2.0
4,6,47,-2.0
4,7,42,5.0
4,8,44,-2.0
4,9,57,12.0
4,10,43,5.0
4,20,60,26.0
4,30,28,12.0
4,40,60,-7.0
4,50,21,5.0
4,60,41,2.0
4,70,39,5.0
4,80,41,5.0
4,90,45,-7.0
4,1,0,-7.0
4,2,0,-1.0
4,3,6,2.0
4,4,3,-7.0
4,5,13,-7.0
4,6,33,2.0
4,7,25,12.0
4,8,61,2.0
4,9,68,-7.0
4,10,25,-7.0
4,20,58,-2.0
4,30,72,-7.0
4,40,43,12.0
4,50,40,-2.0
4,60,42,-7.0
4,70,58,-1.0
4,80,16,4.0
4,90,49,-7.0
4,1,0,12.0
4,2,0,-1.0
4,3,2,-7.0
4,4,7,12.0
4,5,17,12.0
4,6,7,-1.0
4,7,25,-1.0
4,8,40,-1.0
4,9,45,-1.0
4,10,56,12.0
4,20,28,-1.0
4,30,58,-1.0
4,40,39,5.0
4,50,46,-7.0
4,60,19,4.0
4,70,30,-1.0
4,80,46,26.0
4,90,55,2.0
4,1,0,4.0
4,2,2,26.0
4,3,4,-1.0
4,4,2,12.0
4,5,35,-1.0
4,6,11,-7.0
4,7,36,12.0
4,8,44,26.0
4,9,42,4.0
4,10,29,-7.0
4,20,31,4.0
4,30,32,-2.0
4,40,43,5.0
4,50,68,12.0
4,60,50,-7.0
4,70,21,-1.0
4,80,62,-7.0
4,90,17,12.0
4,1,0,0.0
4,2,1,4.0
4,3,2,-2.0
4,4,5,-1.0
4,5,30,12.0
4,6,44,-1.0
4,7,44,4.0
4,8,25,-7.0
4,9,28,2.0
4,10,44,-7.0
4,20,34,-7.0
4,30,32,-2.0
4,40,36,-1.0
4,50,79,-2.0
4,60,29,-2.0
4,70,70,12.0
4,80,47,5.0
4,90,42,2.0
4,1,0,-1.0
4,2,3,4.0
4,3,9,5.0
4,4,15,-7.0
4,5,33,-2.0
4,6,44,-7.0
4,7,35,2.0
4,8,21,-7.0
4,9,75,5.0
4,10,37,0.0
4,20,62,12.0
4,30,38,-7.0
4,40,66,-7.0
4,50,37,26.0
4,60,25,5.0
4,70,79,-1.0
4,80,18,-2.0
4,90,51,-2.0
4,1,0,0.0
4,2,0,-1.0
4,3,3,-1.0
4,4,8,-1.0
4,5,16,-1.0
4,6,26,-7.0
4,7,31,5.0
4,8,36,2.0
4,9,64,5.0
4,10,65,-7.0
4,20,45,4.0
4,30,39,-2.0
4,40,27,-1.0
4,50,39,26.0
4,60,79,12.0
4,70,44,12.0
4,80,71,5.0
4,90,33,2.0
4,1,0,-7.0
4,2,0,5.0
4,3,5,12.0
4,4,19,2.0
4,5,4,26.0
4,6,35,12.0
4,7,28,12.0
4,8,25,4.0
4,9,20,-2.0
4,10,47,-1.0
4,20,31,-1.0
4,30,79,2.0
4,40,51,26.0
4,50,35,-7.0
4,60,59,-2.0
4,70,42,-2.0
4,80,61,2.0
4,90,63,2.0
4,1,0,0.0
4,2,0,-1.0
4,3,3,-1.0
4,4,8,4.0
4,5,4,26.0
4,6,78,-1.0
4,7,20,26.0
4,8,24,12.0
4,9,21,-1.0
4,10,79,12.0
4,20,50,-1.0
4,30,80,26.0
4,40,73,-7.0
4,50,32,12.0
4,60,34,2.0
4,70,43,26.0
4,80,41,-1.0
4,90,79,4.0
4,1,0,-1.0
4,2,0,0.0
4,3,1,-7.0
4,4,10,-7.0
4,5,12,4.0
4,6,41,5.0
4,7,60,26.0
4,8,33,-1.0
4,9,54,-7.0
4,10,38,-7.0
4,20,79,2.0
4,30,41,12.0
4,40,56,26.0
4,50,48,-7.0
4,60,39,26.0
4,70,40,2.0
4,80,34,5.0
4,90,58,-7.0
4,1,0,-1.0
4,2,0,-7.0
4,3,2,-7.0
4,4,8,12.0
4,5,13,-1.0
4,6,29,12.0
4,7,13,4.0
4,8,46,-7.0
4,9,34,12.0
4,10,52,-1.0
4,20,72,-1.0
4,30,79,-2.0
4,40,27,26.0
4,50,54,-2.0
4,60,37,2.0
4,70,21,-7.0
4,80,60,-7.0
4,90,62,26.0
4,1,0,0.0
4,2,1,26.0
4,3,1,-7.0
4,4,3,-1.0
4,5,28,5.0
4,6,32,0.0
4,7,44,-7.0
4,8,79,-1.0
4,9,67,-1.0
4,10,51,2.0
4,20,56,5.0
4,30,31,2.0
4,40,79,5.0
4,50,46,12.0
4,60,31,5.0
4,70,26,5.0
4,80,41,5.0
4,90,27,-7.0
4,1,0,0.0
4,2,1,12.0
4,3,7,-2.0
4,4,11,5.0
4,5,25,4.0
4,6,25,5.0
4,7,22,4.0
4,8,47,-2.0
4,9,39,2.0
4,10,62,-1.0
4,20,35,-1.0
4,30,57,4.0
4,40,51,12.0
4,50,76,-7.0
4,60,51,2.0
4,70,39,26.0
4,80,36,-7.0
4,90,51,-7.0
4,1,0,12.0
4,2,1,26.0
4,3,7,12.0
4,4,12,5.0
4,5,70,26.0
4,6,13,-7.0
4,7,71,5.0
